Date,Open,High,Low,Close,Adj Close,Volume,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
2000-01-31,51.748158,51.987984,50.525822,50.773384,38.941696,65866896.0,50.702652428571454,47.8254829047619,-0.4654407410030785,2.651019878451573,53.12752266166505,42.52344314785875,51.15818323071989,3.9074803833257854,,,,,,
2000-02-01,51.183407,52.212337,50.750175,51.686268,39.641861,69204877.0,50.87285114285716,48.43223047619048,-0.4861154411928865,2.317480840870892,53.06719215793226,43.79726879444869,51.510239743584506,3.9256550257849274,,,,,,
2000-02-02,53.055595,53.6745,52.382538,52.630096,40.365746,64312647.0,51.18230314285716,48.935458761904755,-0.6956201346188493,2.1485282010209152,53.23251516394659,44.63840235986293,52.25681058120277,3.9441047582739084,,,,,,
2000-02-03,52.91634000000001,53.14843000000001,52.049873,52.862186,40.543751,43764594.0,51.66195385714287,49.37127066666668,-0.8156493262348832,2.1165987511293056,53.60446816892529,45.13807316440806,52.66039419373568,3.948589931169701,,,,,,
2000-02-04,53.22579200000001,53.744125,52.869923,53.249001,40.840431,45932185.0,52.196863857142866,49.73819261904762,-0.9156750035383396,2.2578726909331515,54.25393800091393,45.22244723718131,53.05279873124569,3.956020771044913,,,,,,
2000-02-07,52.777088,54.06905,52.305172,53.163902,40.77515800000001,52955762.0,52.38806085714289,49.952230380952386,-0.9220816387914894,2.3228974298863654,54.59802524072511,45.306435521179644,53.12686757708193,3.9543907231026063,,,,,,
2000-02-08,53.457882,53.6745,52.76935200000001,52.978233,40.632755,41561566.0,52.477581428571455,50.20200276190477,-1.0329679402004714,2.027621773395345,54.25724630869546,46.146759215114066,53.0277778590273,3.9508250347917535,,,,,,
2000-02-09,53.999424,54.873627,53.349575,54.216042,41.582123,73916538.0,52.969389714285725,50.65807652380953,-1.0933483118214298,1.9841054169595969,54.62628735772872,46.689865689890325,53.819953953009126,3.9743598922465257,,,,,,
2000-02-10,53.968479,56.289371,53.365047,55.043827,42.21701,69752781.0,53.44904100000002,51.056312190476206,-1.0524849841838415,2.092981739487921,55.242275669452034,46.870348711500355,54.635869317669716,3.9897953284971854,,,,,,
2000-02-11,56.32031600000001,57.867577,55.709148,56.212009,43.112968,52710076.0,53.96074285714289,51.43539133333335,-1.2621292952960346,2.3015875890283857,56.038566511390115,46.832216155276576,55.6866291058899,4.01118048396936,,,,,,
